areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-04-26,894
K02000001,United Kingdom,overview,2020-04-25,919
K02000001,United Kingdom,overview,2020-04-24,1005
K02000001,United Kingdom,overview,2020-04-23,1038
K02000001,United Kingdom,overview,2020-04-22,1102
K02000001,United Kingdom,overview,2020-04-21,1085
K02000001,United Kingdom,overview,2020-04-20,1160
K02000001,United Kingdom,overview,2020-04-19,1122
K02000001,United Kingdom,overview,2020-04-18,1189
K02000001,United Kingdom,overview,2020-04-17,1272
K02000001,United Kingdom,overview,2020-04-16,1322
K02000001,United Kingdom,overview,2020-04-15,1276
K02000001,United Kingdom,overview,2020-04-14,1254
K02000001,United Kingdom,overview,2020-04-13,1232
K02000001,United Kingdom,overview,2020-04-12,1378
K02000001,United Kingdom,overview,2020-04-11,1365
K02000001,United Kingdom,overview,2020-04-10,1319
K02000001,United Kingdom,overview,2020-04-09,1375
K02000001,United Kingdom,overview,2020-04-08,1461
K02000001,United Kingdom,overview,2020-04-07,1293
K02000001,United Kingdom,overview,2020-04-06,1170
K02000001,United Kingdom,overview,2020-04-05,1220
K02000001,United Kingdom,overview,2020-04-04,1147
K02000001,United Kingdom,overview,2020-04-03,1061
K02000001,United Kingdom,overview,2020-04-02,1007
K02000001,United Kingdom,overview,2020-04-01,924
K02000001,United Kingdom,overview,2020-03-31,831
K02000001,United Kingdom,overview,2020-03-30,711
K02000001,United Kingdom,overview,2020-03-29,586
K02000001,United Kingdom,overview,2020-03-28,516
K02000001,United Kingdom,overview,2020-03-27,463
K02000001,United Kingdom,overview,2020-03-26,413
K02000001,United Kingdom,overview,2020-03-25,337
K02000001,United Kingdom,overview,2020-03-24,263
K02000001,United Kingdom,overview,2020-03-23,208
K02000001,United Kingdom,overview,2020-03-22,183
K02000001,United Kingdom,overview,2020-03-21,144
K02000001,United Kingdom,overview,2020-03-20,118
K02000001,United Kingdom,overview,2020-03-19,79
K02000001,United Kingdom,overview,2020-03-18,73
K02000001,United Kingdom,overview,2020-03-17,58
K02000001,United Kingdom,overview,2020-03-16,51
K02000001,United Kingdom,overview,2020-03-15,31
K02000001,United Kingdom,overview,2020-03-14,21
K02000001,United Kingdom,overview,2020-03-13,16
K02000001,United Kingdom,overview,2020-03-12,13
K02000001,United Kingdom,overview,2020-03-11,7
K02000001,United Kingdom,overview,2020-03-10,3
K02000001,United Kingdom,overview,2020-03-09,5
K02000001,United Kingdom,overview,2020-03-08,2
K02000001,United Kingdom,overview,2020-03-07,0
K02000001,United Kingdom,overview,2020-03-06,2
K02000001,United Kingdom,overview,2020-03-05,2
K02000001,United Kingdom,overview,2020-03-04,1
K02000001,United Kingdom,overview,2020-03-03,0
K02000001,United Kingdom,overview,2020-03-02,1
K02000001,United Kingdom,overview,2020-03-01,0
K02000001,United Kingdom,overview,2020-02-29,0
K02000001,United Kingdom,overview,2020-02-28,0
K02000001,United Kingdom,overview,2020-02-27,0
K02000001,United Kingdom,overview,2020-02-26,0
K02000001,United Kingdom,overview,2020-02-25,0
K02000001,United Kingdom,overview,2020-02-24,0
K02000001,United Kingdom,overview,2020-02-23,0
K02000001,United Kingdom,overview,2020-02-22,1
K02000001,United Kingdom,overview,2020-02-21,0
K02000001,United Kingdom,overview,2020-02-20,0
K02000001,United Kingdom,overview,2020-02-19,0
K02000001,United Kingdom,overview,2020-02-18,0
K02000001,United Kingdom,overview,2020-02-17,0
K02000001,United Kingdom,overview,2020-02-16,0
K02000001,United Kingdom,overview,2020-02-15,0
K02000001,United Kingdom,overview,2020-02-14,0
K02000001,United Kingdom,overview,2020-02-13,0
K02000001,United Kingdom,overview,2020-02-12,0
